salesDate,sales,memberID
4/17/2019,1650,15000030965
2/12/2019,489,60526114
2/12/2019,489,60526114
3/12/2019,35,3935122
3/19/2019,950,60658601
4/16/2019,99,60510742
4/16/2019,198,60510742
2/19/2019,299,60659409
8/15/2019,2599,60074735
6/20/2019,49,186900019206
6/20/2019,49,186900019206
6/20/2019,1788,183300053141
6/20/2019,1788,60148325
3/14/2019,1099,186900011488
9/16/2019,3199,15000027393
9/16/2019,5622,15000027094
3/11/2019,4990,189900020730
8/12/2019,249,60306868
8/12/2019,550,60306868
8/12/2019,1690,60306868
7/15/2019,1490,189900014207
6/12/2019,499,60227599
6/12/2019,990,60227599
9/18/2019,3388,183300059580
5/15/2019,2288,60646127
6/11/2019,990,60375642
4/16/2019,290,60510742
2/19/2019,549,60659409
4/16/2019,1499,60085690
2/15/2019,790,189900058293
9/12/2019,899,15000025776
9/12/2019,1190,15000025776
6/20/2019,1647,15000027094
8/15/2019,599,60074735
8/15/2019,1890,60074735
4/18/2019,2988,60572260
7/18/2019,539,60453124
9/19/2019,649,189900098164
3/14/2019,499,60378369
3/14/2019,1098,60378369
6/20/2019,990,3972355
7/11/2019,520,189900051168
9/12/2019,2490,189300009607
6/19/2019,649,190800008052
1/17/2019,1199,60535359
6/12/2019,19500,15000005958
4/29/2019,5998,189900084061
5/27/2019,99,183300048908
8/21/2019,1290,60250372
7/31/2019,30,60259311
7/31/2019,598,60259311
1/30/2019,1090,60090619
8/21/2019,690,60586414
3/26/2019,12999,60146249
7/30/2019,3290,60484632
5/21/2019,999,60168800
5/21/2019,62,189900005295
5/21/2019,84,189900005295
5/24/2019,999,60259311
5/24/2019,549,60611601
2/22/2019,469,3925773
1/25/2019,849,186600015266
6/21/2019,600,60648614
6/28/2019,3888,3931343
1/25/2019,888,186900050606
3/29/2019,297,3926958
7/26/2019,3990,60060271
8/23/2019,1490,60275674
5/23/2019,138,15000032738
5/23/2019,269,15000032738
5/23/2019,278,15000032738
5/23/2019,278,15000032738
5/23/2019,199,60433765
2/28/2019,1020,60208322
2/25/2019,1788,183300026832
6/24/2019,300,15000017711
6/24/2019,1988,15000017711
5/27/2019,1690,183300048908
2/25/2019,1690,60422312
8/26/2019,1199,15000027807
7/29/2019,1790,3964405
5/27/2019,580,60510742
1/28/2019,1450,186600005464
5/27/2019,8710,15000033091
5/27/2019,620,60579614
5/22/2019,769,3970922
3/27/2019,699,15000012600
4/24/2019,799,60078356
9/25/2019,1198,15000004003
5/21/2019,599,3970922
1/29/2019,1590,186300010025
4/30/2019,799,15000032247
2/26/2019,500,60435124
5/21/2019,2290,60168800
5/21/2019,990,60168800
5/21/2019,4999,189900005295
2/22/2019,55,3925773
5/24/2019,699,60259311
3/29/2019,1047,3926958
8/23/2019,780,60275674
8/23/2019,1698,60275674
1/31/2019,1999,15000029164
5/23/2019,1999,15000032738
5/23/2019,769,15000024782
5/23/2019,59,60433765
5/23/2019,749,60433765
9/26/2019,4988,189300009607
5/23/2019,1647,15000027094
8/29/2019,209,60629182
8/29/2019,2588,60270899
3/25/2019,599,60058143
9/25/2019,15888,189300009607
2/22/2019,690,3925773
6/28/2019,1699,3931343
5/24/2019,1340,15000027094
2/22/2019,1598,3970922
8/29/2019,1998,60629182
8/21/2019,5488,3925272
4/30/2019,1350,60623121
7/8/2019,199,60484577
9/9/2019,16,60482338
5/8/2019,129,183600016568
9/4/2019,1798,183600020507
1/9/2019,1590,60384995
